사업장명,소재지(지번)
백마강 참숯 민물장어,"경기도 성남시 분당구 백현동 476 가동 1,2층 "
페리카나 정자동점,경기도 성남시 분당구 정자동 69-8 1층 
별이빛나는밤에,경기도 성남시 분당구 구미동 35-1 
블루라이브,경기도 성남시 분당구 정자동 137-5 
파스타 테이블(pasta table),경기도 성남시 분당구 서현동 269-1 산호프라자 207호 
진수사,경기도 성남시 분당구 야탑동 388-5 1층 
서림식당,경기도 성남시 분당구 구미동 192 엘지트윈 1층 
병천순대,경기도 성남시 분당구 금곡동 150 미금파크 1층 
구월,경기도 성남시 분당구 금곡동 150 분당미금파크 1층 107-1호 
을지로골뱅이랑만났을때,경기도 성남시 분당구 구미동 35-7 
젊은미소,경기도 성남시 분당구 정자동 139-1 지하1층 
뉴욕바닷가재,경기도 성남시 분당구 분당동 149-7 1층 
자연애쭈꾸미,경기도 성남시 분당구 수내동 32 금호상가 225호 
고타야 안동국시,"경기도 성남시 분당구 율동 323-20 1,2,지1층 "
땡주,경기도 성남시 분당구 구미동 179 광림프라자 1층 
라벤더,경기도 성남시 분당구 야탑동 368-4 
이가네 밥사랑죽사랑,경기도 성남시 분당구 야탑동 354-6 강남프라자 109호 
루나,경기도 성남시 분당구 정자동 138-2 지하1층 
코끼리분식,경기도 성남시 분당구 수내동 56 파크타운 코끼리상가 76호 
망향비빔국수,경기도 성남시 분당구 서현동 81-3 1층 
산더덕설렁탕,경기도 성남시 분당구 율동 323-16 1층 
참진짜장짬뽕,경기도 성남시 분당구 야탑동 355-1 세화2001빌딩 101호 
늘보끔,경기도 성남시 분당구 정자동 38-2 1층 전체 
전원미소,경기도 성남시 분당구 정자동 143-5 
예랑,경기도 성남시 분당구 석운동 43-3 1층 
문,경기도 성남시 분당구 야탑동 368-2 지하1층 
동아리,경기도 성남시 분당구 야탑동 275-2 명창빌딩1층 
무교동 낙지,경기도 성남시 분당구 서현동 325-1 
옛날손짜장,경기도 성남시 분당구 수내동 53 파크타운 주상복합상가 지하100호 
샤르르 샤브샤브,경기도 성남시 분당구 서현동 221-5 
으뜸분식,"경기도 성남시 분당구 수내동 53 파크타운 주상복합상가 지하82,83호 "
콩쥐팥쥐,경기도 성남시 분당구 서현동 248-1 대명프라자 213호 
고향식당,경기도 성남시 분당구 야탑동 286-13 
달인참치,경기도 성남시 분당구 야탑동 372-4 
박사장모양념치킨,경기도 성남시 분당구 이매동 106-5 오성프라자 빌딩1층 108호 
삼촌네,경기도 성남시 분당구 서현동 248-1 대명프라자 지하108호 
산성가마솥,경기도 성남시 분당구 정자동 47-7 
청계산손두부,경기도 성남시 분당구 운중동 109-10 1층 일부 
모자족발,경기도 성남시 분당구 정자동 64-8 1층 
민수라간장게장,경기도 성남시 분당구 서현동 77-5 2층 일부호 
흥부와놀부네,"경기도 성남시 분당구 서현동 248-1 대명프라자 2층 201호, 202-1호 "
더문푸드,경기도 성남시 분당구 정자동 48-4 
착한낙지,"경기도 성남시 분당구 야탑동 598 1층, 2층 "
찌마기 야탑점,경기도 성남시 분당구 야탑동 373-1 
대찬낙지,경기도 성남시 분당구 이매동 87-20 
피자헛 분당금곡점,경기도 성남시 분당구 정자동 138-3 1층 전부 
고향만두,경기도 성남시 분당구 수내동 53 돌고래상가 지하53 
항아리보쌈,경기도 성남시 분당구 정자동 53-2 
랜돌프비어야탑점,경기도 성남시 분당구 야탑동 375-9 지하1층 일부 
아름마을회이야기,경기도 성남시 분당구 야탑동 533-8 미라보상가 109호 
먹개비촌,경기도 성남시 분당구 서현동 328-10 
나무향,경기도 성남시 분당구 율동 110-1 
푸른바다 볼테기,경기도 성남시 분당구 정자동 136-8 지상1층 
홍박사생고기,"경기도 성남시 분당구 야탑동 338-4 1층, 지하1층 "
땅끝수산,경기도 성남시 분당구 서현동 327-4 
백세장수촌,경기도 성남시 분당구 정자동 135-2 
배밭갈비,경기도 성남시 분당구 야탑동 527-2 
분당서서갈비,"경기도 성남시 분당구 야탑동 401-1 1층,2층전부 "
능이향기,"경기도 성남시 분당구 운중동 349-2 1층, 2층 "
에센마일드치킨,경기도 성남시 분당구 야탑동 319-2 
하림멕시칸,경기도 성남시 분당구 정자동 192 정든마을 
송죽김밥만두전문점,경기도 성남시 분당구 구미동 203-2 진도훼밀리프라자 지하1층 
인생극장(미금역점),경기도 성남시 분당구 구미동 36-6 1층 
탁사발두부공방 정자본점,경기도 성남시 분당구 정자동 43-6 
동키치킨,경기도 성남시 분당구 서현동 89-7 한신상가 B동 125호 
판교매일식당 정자직영점,경기도 성남시 분당구 정자동 135-8 1층 
해남생선구이백반집,경기도 성남시 분당구 서현동 95 분당우성프라자 2층 224호 
함흥미식관,경기도 성남시 분당구 정자동 136-9 1층 
전주콩뿌리콩나물국밥,경기도 성남시 분당구 정자동 132-1 1층 
까치 화로구이,"경기도 성남시 분당구 구미동 37-6 1층,2층 "
매취랑 분당점,경기도 성남시 분당구 정자동 137-12 지상1층 
토속정,경기도 성남시 분당구 정자동 135-9 1층 
용용선생 야탑점,경기도 성남시 분당구 야탑동 361-12 동호빌딩1층 
에이드,경기도 성남시 분당구 정자동 132-2 1층 
황금코다리,경기도 성남시 분당구 정자동 133-9 1층 
병천순대국,경기도 성남시 분당구 서현동 95 우성프라자 209호 
생포탄,경기도 성남시 분당구 구미동 56-3 1층 
냉철한삼겹,경기도 성남시 분당구 구미동 34-7 1층 
두리의정부부대찌개,경기도 성남시 분당구 야탑동 289-2 
넘버원양꼬치,경기도 성남시 분당구 야탑동 368-13 1층 
짬뽕관 서현점,경기도 성남시 분당구 서현동 247-3 삼보프라자2층 203호 
장수촌,경기도 성남시 분당구 야탑동 372-14 1층 
군침,경기도 성남시 분당구 구미동 37-2 1층 
왕돈까스,경기도 성남시 분당구 수내동 32 양지마을 602동상가 2층 217호 
옹기구이쌈밥,경기도 성남시 분당구 야탑동 383-18 1층 
미소회초밥,경기도 성남시 분당구 수내동 89-8 지상1층 
정 세이로무시,경기도 성남시 분당구 야탑동 377-5 1층 
분당그릴,경기도 성남시 분당구 구미동 56-2 1층 
주식회사 청정갯마을,경기도 성남시 분당구 야탑동 528-1 1층 
파스쿠찌분당케이티.계원점,경기도 성남시 분당구 정자동 139-7 1층 
무봉리토종순대국(야탑점),경기도 성남시 분당구 야탑동 482-2 1층 
스시생선가게,경기도 성남시 분당구 정자동 139-4 1층 
진달래양꼬치,경기도 성남시 분당구 정자동 133-4 1층 
비비큐치킨,경기도 성남시 분당구 분당동 123-1 
다께야,경기도 성남시 분당구 수내동 89-9 지상1층 
황제참치,경기도 성남시 분당구 구미동 36-1 1층 
분당 순두부 칼국수,경기도 성남시 분당구 서현동 269-3 산호트윈스 2층 204호 
분당서현점 홍콩반점0410,"경기도 성남시 분당구 서현동 268-6 동호프라자 203호, 204호 "
야탑 황금어장,경기도 성남시 분당구 야탑동 376-3 1층 
보배담 분당정자점,경기도 성남시 분당구 정자동 55-7 지상1층 
못말리는 고양이,경기도 성남시 분당구 서현동 269-1 산호프라자 308호 
원조집시골밥상,경기도 성남시 분당구 서현동 95 우성프라자 219호 
수계옥,경기도 성남시 분당구 구미동 50-4 지상1층 
오늘 와인한잔 야탑점,경기도 성남시 분당구 야탑동 372-1 1층 
야탑골한방삼계탕,경기도 성남시 분당구 야탑동 319-1 
인순이네,경기도 성남시 분당구 서현동 88 지엔느 오피스텔 122호 
이삭토스트,경기도 성남시 분당구 서현동 248-4 109호 
삼공사공,경기도 성남시 분당구 서현동 333-2 성수빌딩지하1층 101~104호 
맥,경기도 성남시 분당구 정자동 53-3 지하1층 
민속손국시,경기도 성남시 분당구 수내동 24 양지마을 602동상가 2층 218호 
KOKORO(코코로),경기도 성남시 분당구 서현동 328-5 
필리오,경기도 성남시 분당구 야탑동 375-11 1층 
평양냉면 율평,경기도 성남시 분당구 율동 113-3 1층 
신김밥천국,경기도 성남시 분당구 야탑동 290-1 중탑상가 101호 
왕포차,경기도 성남시 분당구 야탑동 275-1 명지그린프라자 1층 일부 
이도스시,경기도 성남시 분당구 금곡동 155 1층 우방코아 110호 
광장 호프,경기도 성남시 분당구 야탑동 375-1 
북경,경기도 성남시 분당구 구미동 57-4 
돌판하나,경기도 성남시 분당구 정자동 134-5 1층일부 
벤틀리,경기도 성남시 분당구 정자동 53-2 지하1층 
메이홈(MAY HOME),경기도 성남시 분당구 정자동 134-6 지상1층 
의정부부대찌게,경기도 성남시 분당구 운중동 931 1층 일부(101호) 
전주수영식당,경기도 성남시 분당구 서현동 247-4 은성프라자 1층 107호
YDD용두동 신 쭈꾸미,경기도 성남시 분당구 야탑동 370-1 
쿠시토라,경기도 성남시 분당구 구미동 56-1 1층 
남영불갈비,경기도 성남시 분당구 야탑동 368-3 지상1층 
미각짬뽕24시,경기도 성남시 분당구 서현동 271-5 송암빌딩1층 
란반,경기도 성남시 분당구 정자동 135-7 1층 
저녁코끼리,경기도 성남시 분당구 야탑동 383-9 1층 
고집불통,경기도 성남시 분당구 분당동 100-1 
티엠비숯불바베큐,경기도 성남시 분당구 서현동 268-4 
고봉민김밥인 분당서현로데오점,경기도 성남시 분당구 서현동 247-4 은성프라자 108호 
라이라이,경기도 성남시 분당구 정자동 134-2 1층 
도아들,"경기도 성남시 분당구 서현동 269-3 산호트윈스 116호, 117호, 118호, 119호 "
조은밥상,경기도 성남시 분당구 수내동 32 양지마을 602동상가 2층 219-1호 
고향집 삼계탕,경기도 성남시 분당구 정자동 136-7 지상1층 
서현양갈비양꼬치,경기도 성남시 분당구 서현동 271-5 송암빌딩2층 
투다리,경기도 성남시 분당구 정자동 62-3 지상1층 
칼국수버섯매운탕,경기도 성남시 분당구 수내동 103-1 지상1층 
주막골포장마차,경기도 성남시 분당구 수내동 89-1 지상1층 
나무,경기도 성남시 분당구 정자동 139-6 지상1층 
그집고기,경기도 성남시 분당구 구미동 35-5 
뉴욕야시장 야탑역점,경기도 성남시 분당구 야탑동 361-9  2층 
프리버드(FREE BIRD),경기도 성남시 분당구 정자동 138-3 지하1층 
카페라삔,경기도 성남시 분당구 정자동 140-8 지상1층 
피자테리아,경기도 성남시 분당구 이매동 111 근린상가 1층 104호 
금룡,경기도 성남시 분당구 야탑동 354-4 2층 일부 
레트로 냉삼집,"경기도 성남시 분당구 서현동 248-1 대명프라자 2층 202,203,205호 "
만석집,경기도 성남시 분당구 야탑동 361-8 2층 
블루문,경기도 성남시 분당구 구미동 54-2 1층 
풍천장어마루,경기도 성남시 분당구 야탑동 372-15 1층 
외래식당,경기도 성남시 분당구 서현동 255-2 지하1층 
제이앤제이(J & J),경기도 성남시 분당구 구미동 41-1 지하1층 
녹녹 KNOCKKNOCK,경기도 성남시 분당구 정자동 62-8 1층 
초록지붕 전주명가,경기도 성남시 분당구 야탑동 376-9 1층 
스타 7080 라이브,경기도 성남시 분당구 야탑동 366-12 
정통춘천닭갈비,경기도 성남시 분당구 정자동 42-6 지상1층 
향촌,"경기도 성남시 분당구 율동 104-2 지하1층,1층,2층전부 "
취옹,경기도 성남시 분당구 구미동 53-3 1층 전체 
다께야,경기도 성남시 분당구 서현동 269-2 피아자코코106호 
오뚜기식당 야탑점,"경기도 성남시 분당구 야탑동 360-4 궁전프라자 1층 108, 109호 "
박차오름,"경기도 성남시 분당구 야탑동 151 성남아파트형공장상가 1층 103호,104호 "
정든닭발 서현점,경기도 성남시 분당구 서현동 248-4 유성트윈스 동관 208호 
산촌,경기도 성남시 분당구 수내동 32 금호상가 602동 214호 
야탑황금어장,경기도 성남시 분당구 야탑동 376-2 1층 
이모네밥상,경기도 성남시 분당구 야탑동 286-3 101호 
동해참가자미새꼬시,경기도 성남시 분당구 서현동 328-7 
자담치킨(구미점),경기도 성남시 분당구 구미동 205-1 오성프라자101호 
신의주 찹쌀 순대,경기도 성남시 분당구 서현동 271-5 지하 
이루다자가제면소 율동점,경기도 성남시 분당구 율동 298 1층 
신전떡볶이,경기도 성남시 분당구 야탑동 290-1 1층 106호 
봉고기 정육식당,경기도 성남시 분당구 야탑동 372-8 1층 일부호 
가자포차,경기도 성남시 분당구 야탑동 361-11 영창빌딩 2층 
또래오래서현점,경기도 성남시 분당구 서현동 96 우성분산상가 234동 102호 
시마스시,경기도 성남시 분당구 수내동 14 롯데백화점 지하1층 일부 
유앤미치킨,경기도 성남시 분당구 정자동 110 한솔마을 청구상가 106호 지하 
처가집 양념치킨,경기도 성남시 분당구 구미동 145-4 대우빌딩 1층102호 
베네트피자,경기도 성남시 분당구 정자동 68-12 
버거킹 분당서현점,"경기도 성남시 분당구 서현동 269-2 1층, 2층 "
더냄비,경기도 성남시 분당구 서현동 94-3 우성종합상가49동 1층132.133호 
향기나는터,경기도 성남시 분당구 야탑동 140 외 3필지 
쓰담,경기도 성남시 분당구 구미동 45-3 1층 
누구나 홀딱 반한 닭 분당정자역점,"경기도 성남시 분당구 정자동 158-2 103호, 104호 "
이가네양꼬치,경기도 성남시 분당구 구미동 37-3 1층 
번쩍피자(수내점),경기도 성남시 분당구 수내동 8-5 맛자랑멋자랑 지하1층 105 일부호 
마일즈컴퍼니 프롬우주,경기도 성남시 분당구 야탑동 276-4 1층 
그집수산,경기도 성남시 분당구 구미동 35-4 1층 
명동분식,경기도 성남시 분당구 구미동 112-2 하얀마을6단지상가 1층 104호 
엄마손,경기도 성남시 분당구 서현동 307 효자촡주상복합상가 601동 상가1층 1006호 
양평해장국,경기도 성남시 분당구 운중동 324-12 
정직유부 분당야탑점,경기도 성남시 분당구 야탑동 355-4 한주코아 1층108호 
환이네 갈비살,경기도 성남시 분당구 야탑동 382-4 1층 전부 (105호~107호) 
디저트39 분당정자점,경기도 성남시 분당구 정자동 139-2 1층 
김씨도마,경기도 성남시 분당구 구미동 179 광림프라자 106호 
하남돼지집(분당서현점),경기도 성남시 분당구 서현동 268-5 서현나산플라자 1층 105호 
을지로골뱅이,경기도 성남시 분당구 수내동 8-5 맛자랑.멋자랑 1층 109호 
웨더베인(WEATHER VANE),경기도 성남시 분당구 야탑동 376-10 1층 
효자낙지마당,"경기도 성남시 분당구 이매동 137-6 골든프라자 113호,114호 "
신's 쭈꾸미,경기도 성남시 분당구 서현동 250-4 금호리빙스텔 2층 204호 
평양덜덜이냉면,경기도 성남시 분당구 야탑동 347 1층 일부 
스탄불바베큐,경기도 성남시 분당구 수내동 88-2 삼평프라자 1층 
미래식당,경기도 성남시 분당구 서현동 311 효자촌주상복합 상가604동 1층 121호~126호 
양씨네왕순대야탑점,경기도 성남시 분당구 야탑동 151 성남아파트형공장상가동 101호 
삼계마을,경기도 성남시 분당구 서현동 269-4 산호트윈스II 2층 8호 
둘둘치킨,"경기도 성남시 분당구 서현동 269-4 산호트윈스II 106호,107호 "
흥부네순대,"경기도 성남시 분당구 서현동 269-4 산호트윈스2 1층 108, 109, 110호 "
이레,경기도 성남시 분당구 정자동 142-2 지상1층 
치어스 야탑점,경기도 성남시 분당구 야탑동 366-14 1층 
종가집생등심,경기도 성남시 분당구 야탑동 388-6 1층 
작은어촌,경기도 성남시 분당구 구미동 34-2 1층 
느티한식뷔페,"경기도 성남시 분당구 정자동 90 느티마을공무원아파트 1층 105호, 106호 "
만강,"경기도 성남시 분당구 서현동 146-6 1, 2, 3층 "
써니스피자마켓 분당점,경기도 성남시 분당구 정자동 66-13 1층 일부(101호)호 
태조황태코다리전문점,경기도 성남시 분당구 구미동 145-1 1층 오리뜰조합 110호 
교대이층집(야탑점),경기도 성남시 분당구 야탑동 366-12 1층 
참치한마리,경기도 성남시 분당구 서현동 95 우성프라자 218호 
우리네 코다리,경기도 성남시 분당구 수내동 32 금호상가 2층 222호 
추오정 남원추어탕,경기도 성남시 분당구 구미동 61-6 1층 
참숯화로구이,경기도 성남시 분당구 수내동 89-3 1층 
이태리부대찌개 서현점,경기도 성남시 분당구 서현동 268-4 서현프라자 2층 
7프로칠백식당,경기도 성남시 분당구 구미동 45-2 1층 
깡우동,경기도 성남시 분당구 야탑동 376-5 1층 
사계진미,경기도 성남시 분당구 야탑동 338-8 1층 
옥된장 야탑점,경기도 성남시 분당구 야탑동 366-11 1층 
안골가마솥해장국,경기도 성남시 분당구 야탑동 353-1 영진다이비스 1층 
예당골 돼지촌,경기도 성남시 분당구 서현동 323 효자촌대명연립 상가동 1층 3호 
육일돈,경기도 성남시 분당구 수내동 89-6 1층 
등촌칼국수,경기도 성남시 분당구 야탑동 314-1 1층 
시골집할머니,경기도 성남시 분당구 서현동 95 우성프라자 2층 
초원칼국수,경기도 성남시 분당구 서현동 95 2층 216호 
전주숯불갈비,경기도 성남시 분당구 야탑동 353-1 영진다이비스 1층 
화포식당야탑점,경기도 성남시 분당구 야탑동 373-6 1층 
참나무향기참향,경기도 성남시 분당구 율동 115-1 3층 
참향,"경기도 성남시 분당구 율동 115-1 1층, 2층 "
필링호프,경기도 성남시 분당구 야탑동 533-7 지하1층 101호 
밥집,경기도 성남시 분당구 정자동 65-3 숲안상가 1-106호 
CGV오리골드클래스식당,경기도 성남시 분당구 구미동 159 월드유통 B동 4-401호 
철뚝집수내점,경기도 성남시 분당구 수내동 89-7 
어부 마당,경기도 성남시 분당구 구미동 29-1 더프라자 1층 101호 
주막골,경기도 성남시 분당구 정자동 130-3 한라프라자 2-203호 
투다리미금점,경기도 성남시 분당구 금곡동 155 우방코아 107호 
뜨락에,경기도 성남시 분당구 정자동 128 금산파킹프라자 1층 101호 
메밀정원,경기도 성남시 분당구 서현동 82-11 1층 
장수본가해장국,"경기도 성남시 분당구 야탑동 353-2 106,107호 "
김국진의집 의정부부대찌개,경기도 성남시 분당구 정자동 136-6 1층 
마지아 브레드하우스,"경기도 성남시 분당구 율동 310-1 1층, 2층 전부 "
수내호프,"경기도 성남시 분당구 수내동 63-1 금산프라자빌딩 1층 118,119,120호 "
야탑어촌,경기도 성남시 분당구 야탑동 368-10 1층 
와그너치킨,"경기도 성남시 분당구 야탑동 274-3 일심조합상가 지상1층 2호, 3호 "
육공이숯불돼지왕갈비,경기도 성남시 분당구 구미동 141-1 1층 
굿모닝치킨,"경기도 성남시 분당구 야탑동 537-4 1층  103호,  104호, 105호 "
오백국수 야탑2호점,경기도 성남시 분당구 야탑동 355-2 금호프라자 1-108호 
탑골 직화구이,"경기도 성남시 분당구 야탑동 478 1,2층 "
건길지,경기도 성남시 분당구 서현동 83-2 2층 일부 
스페이스316,경기도 성남시 분당구 야탑동 388-2 지1층 
(주)안다미로24,경기도 성남시 분당구 금곡동 376-5 외 5필지 1층 
제일분식,경기도 성남시 분당구 서현동 311 미래타운B상가 118호 
전주식당,"경기도 성남시 분당구 수내동 6-9 현대프라자 2층 208,210호 "
생고기 대학교,경기도 성남시 분당구 정자동 129-1 1층 
솜씨마을,경기도 성남시 분당구 구미동 179 광림빌딩 110호 
지코바야탑1호점,경기도 성남시 분당구 야탑동 380-10 1층 
청청숯불꼼장어구이,"경기도 성남시 분당구 야탑동 369-1 1층, 지하1층 "
금강숯불바베큐치킨,경기도 성남시 분당구 구미동 185-7 향정위너스프라자 107호 
천지연 율동공원점 (주)신화아이푸드,경기도 성남시 분당구 율동 323-13 1층 
소곱창신화,경기도 성남시 분당구 야탑동 353-2 1층 
하림멕시칸,경기도 성남시 분당구 분당동 34 샛별마을 상가 107호 
고엔스시,경기도 성남시 분당구 구미동 192 LG트윈하우스 104호 
수봉떡볶이,경기도 성남시 분당구 정자동 45-3 1층 
브롱스 분당야탑점,경기도 성남시 분당구 야탑동 361-10 우송빌딩 2층 
고박사마늘돼지갈비전문,경기도 성남시 분당구 야탑동 377-4 1층 
취영루,경기도 성남시 분당구 이매동 113 성남상공회의소 5층 
교촌치킨정자점,경기도 성남시 분당구 정자동 17-5 시그마타워 1층일부호
장충동왕족발,경기도 성남시 분당구 서현동 334-8 1층 
파온유(Paronyoo),경기도 성남시 분당구 이매동 285-1 지하1층 
도그365,"경기도 성남시 분당구 서현동 136-9 1층, 2층 전부 "
오코게,경기도 성남시 분당구 수내동 21-2 현대판테온I 오피스텔 106호 
성지분식,경기도 성남시 분당구 이매동 116 이매촌분산상가 101호 
옛시골왕솥뚜껑삼겹살,경기도 성남시 분당구 구미동 40-5 1층 
바다수퍼해물천하조개구이 야탑점,경기도 성남시 분당구 야탑동 388-4 1층 
전주식당,경기도 성남시 분당구 서현동 95 우성프라자 2층 223호 
해정 뚝배기,경기도 성남시 분당구 야탑동 297-8 1층 
서비인테리어&버블캐슬,경기도 성남시 분당구 정자동 133-6 1층 전부 
어바웃풍미,경기도 성남시 분당구 서현동 245-3 성지하이츠텔 209호 
아지트,경기도 성남시 분당구 구미동 35-9 지1층 
닐리파스타,경기도 성남시 분당구 정자동 132-4 1층 
아웃닭 서현점,"경기도 성남시 분당구 서현동 247-1 영건프라자 304호,305호 "
작은어촌,"경기도 성남시 분당구 정자동 54-2 금성프라자 1층 일부(105호,106호)사용 "
산촌 누룽지 닭백숙,"경기도 성남시 분당구 율동 113-5 지하1, 1,2,3,층 "
에그드랍 야탑역점,경기도 성남시 분당구 야탑동 353-2 1층 103호 
곤지암할매 소머리국밥야탑점,경기도 성남시 분당구 야탑동 482-17 1층 
우리집닭강정(야탑점),경기도 성남시 분당구 야탑동 291-5 1층 
(주)입큰메기,경기도 성남시 분당구 금곡동 376-1 디케이프라자 3동 1층 
착한화로구이,경기도 성남시 분당구 정자동 141-5 1층 
무한육채미 미금점,경기도 성남시 분당구 금곡동 150 미금파크 1층 115호 
도쿄스테이크,경기도 성남시 분당구 서현동 269-2 피아자코코빌딩 2층 202호 
명동간식코너,경기도 성남시 분당구 정자동 110 한솔마을 근린상가 지하127호 
좋은집,경기도 성남시 분당구 서현동 92 현대아파트분산상가 1동 1층 302호
보향정,경기도 성남시 분당구 구미동 187-1 체르빌오피스텔 101호 103호 
신안홍탁,경기도 성남시 분당구 야탑동 372-13 1층 일부 
소통(미금직영점),경기도 성남시 분당구 구미동 34-3 1층 일부 
라뮤즈(Lamuse),경기도 성남시 분당구 정자동 133-6 (지1층) 
도모까스,"경기도 성남시 분당구 수내동 53 돌고래상가 지하1층 152호,153호,154호,157호,158호,159호 "
세이브,경기도 성남시 분당구 구미동 58-6 
낙지한마리수제비,경기도 성남시 분당구 구미동 205-8 1층 
아무술집서현점,"경기도 성남시 분당구 서현동 247-3 삼보프라자 2층204,205호 "
명동칼국수,경기도 성남시 분당구 야탑동 289-3 1층 전부 
모란식당,경기도 성남시 분당구 야탑동 151 아파트형공장상가동 205호 
안동황우촌,"경기도 성남시 분당구 야탑동 372-3 1층, 지하1층  "
참숯태능갈비,경기도 성남시 분당구 수내동 90-10 
노아노아,경기도 성남시 분당구 서현동 84-8 1층 전부 
명동스넥,경기도 성남시 분당구 이매동 131-3 홍우프라자 지하105호 
하성손칼국수,경기도 성남시 분당구 정자동 139-3 1층 
판쓰리솥뚜껑생김치삼겹살,경기도 성남시 분당구 정자동 133-5 
이태경순대국,경기도 성남시 분당구 정자동 137-13 
옛집,경기도 성남시 분당구 야탑동 533-4 승문상가 1층 107호 
생마차 분당서현점,경기도 성남시 분당구 서현동 245-3 성지하이츠텔 1층 104호 
충무김밥,경기도 성남시 분당구 야탑동 355-1 1층 103호 
춘향골 남원추어탕,경기도 성남시 분당구 야탑동 377-1 지1층 
청계산토종닭집,경기도 성남시 분당구 운중동 531-6 1층 
진지왕순대국,경기도 성남시 분당구 야탑동 366-10 1층 
쌀통닭,경기도 성남시 분당구 서현동 260-4 덕산빌딩 1층 103호 
효자촌 치킨집,"경기도 성남시 분당구 서현동 297 효자촌주상가 228동 113호, 114호 "
짱가네,"경기도 성남시 분당구 야탑동 355-2 금호프라자 1층 103,104호 "
한솥도시락 수내역점,경기도 성남시 분당구 수내동 33-2 궁전프라자  1층  108호 
안동황우촌,경기도 성남시 분당구 분당동 90-3 성창빌딩 1층 
우드스탁,경기도 성남시 분당구 야탑동 372-16 지하1층 
페리카나 치킨,"경기도 성남시 분당구 서현동 311 효자촌주상복합 604동 1층 110호,111호 "
안동국시소호정,경기도 성남시 분당구 서현동 104-5 1층 
주박사,경기도 성남시 분당구 구미동 18 시그마2오피스텔 지하1층 1-5호 
진우동,경기도 성남시 분당구 서현동 260-4 덕산빌딩 1층 104호일부 
취홍 서현점 (주)신화아이푸드,경기도 성남시 분당구 서현동 195-2 4층 
분당유황오리진흙구이,"경기도 성남시 분당구 서현동 69 1층 일부, 2층 "
(주)바실리움,경기도 성남시 분당구 야탑동 344-1 코리아디자인센타 8층 
독산동부추곱창,경기도 성남시 분당구 구미동 35-11 1층 
서현궁 수라간 서현점 (주)신화케이푸드,경기도 성남시 분당구 서현동 195-2 1층 
치어스 본점,"경기도 성남시 분당구 야탑동 533-3 동양프라자 1층 101-104호,110-112호 "
낭만어게인,"경기도 성남시 분당구 서현동 304 임광상가 1층 101,102호 "
쎄시봉,경기도 성남시 분당구 구미동 37-4 
동트는 마을,경기도 성남시 분당구 서현동 248-1 대명프라자 지1층 
도깨비숙성횟집,경기도 성남시 분당구 야탑동 373-2 1층 
비어펍(수),경기도 성남시 분당구 정자동 137-8 지하1층 
직화쌈밥정식,경기도 성남시 분당구 율동 111-5 1층 
청담일식 서현점 (주)신화케이푸드,경기도 성남시 분당구 서현동 195-2 지하1층 
깜보,경기도 성남시 분당구 정자동 66-1 1층 
서현궁 영빈관 서현점 (주)신화케이푸드,경기도 성남시 분당구 서현동 195-2 2층 
강남면옥,경기도 성남시 분당구 서현동 77-6 1층 전부 
소풍가는날,경기도 성남시 분당구 서현동 89-7 삼성한신상가 B동 1층122호 
미리내,경기도 성남시 분당구 정자동 135-3 1층 
참착한족발,경기도 성남시 분당구 서현동 250-4 금호리빙스텔 2층203호 
씨엘,경기도 성남시 분당구 야탑동 370-2 지하1층 
이남장,경기도 성남시 분당구 정자동 85-9 1층 
메가엠지씨커피 분당느티마을점,경기도 성남시 분당구 정자동 66-12 1층 
서현 도시락 별,경기도 성남시 분당구 서현동 297 효자촌 지하1층 1호 
메종드쿠로이 분당 돈까스 라멘 우동 소바 일식 이자카야 맛집,경기도 성남시 분당구 구미동 192 LG트윈하우스 1층114호 
시로코,경기도 성남시 분당구 서현동 195-2 5층 
예돈돈까스,경기도 성남시 분당구 야탑동 283-10 1층 
끌라시꼬커피,경기도 성남시 분당구 구미동 187-1 체리빌오피스텔 1층107호 
서현오뎅집,경기도 성남시 분당구 서현동 247-3 삼보프라자 3층304호 
(주)가비양,경기도 성남시 분당구 서현동 182-1 1층 
분당아나고,경기도 성남시 분당구 구미동 182 대맥주차빌딩 1층 107호 
자갈치시장,"경기도 성남시 분당구 야탑동 352-1 터미널프라자 1층103,104호 "
니뽕내뽕 서현점,경기도 성남시 분당구 서현동 269-4 산호트윈스2. 2층203호 
두리아숯불바베큐,경기도 성남시 분당구 야탑동 352-1 터미널프라자 1층105호 
라온,경기도 성남시 분당구 야탑동 361-1 2층202호 
(주)올림세광양대창(야탑점),경기도 성남시 분당구 야탑동 376-6 B동 1층 
세광양대창(분당수내점),"경기도 성남시 분당구 수내동 7-5 코리아나빌딩 2층 203,204호 "
맘스터치 분당서현점,경기도 성남시 분당구 서현동 306-3 1층 
동해회수산,경기도 성남시 분당구 야탑동 352-1 터미널프라자 101호 
만족오향족발 정자점,경기도 성남시 분당구 정자동 19-5 1층 
린야탑점,경기도 성남시 분당구 야탑동 352-1 터미널프라자 206호 
아시아티크,경기도 성남시 분당구 서현동 82-1 1층 
밀숲서현점,경기도 성남시 분당구 서현동 248-4 유성트윈   110호 
큰맘할매순대국 수내점,경기도 성남시 분당구 수내동 83-1 동한프라자 1층 
바다애 매생이 굴국밥,경기도 성남시 분당구 구미동 23-1 분당프라자 2층 203-1호 
삼다옥1947,경기도 성남시 분당구 수내동 7-4 한산이씨좌랑공파종중사옥 1층 
