사업장명,소재지(지번)
윤회민속식당,경기도 성남시 수정구 신흥동 4114 지층 
동래파전,경기도 성남시 수정구 신흥동 3853 1층 
"시골인삼 순대국, 감자탕",경기도 성남시 수정구 신흥동 2604-1 1층 
장인 소머리국밥,경기도 성남시 수정구 수진동 2984-1 1층 
연길 양꼬치,경기도 성남시 수정구 수진동 102 1층 
한국피자헛 성남태평역점,경기도 성남시 수정구 태평동 6973 연안빌딩 1층 102호 일부 
명보갈비,경기도 성남시 수정구 신흥동 4114 1층 
끼리끼리,경기도 성남시 수정구 수진동 2976 1층 
두꺼비,경기도 성남시 수정구 단대동 60-8 1층 
윤가네,경기도 성남시 수정구 수진동 430 1층 
은행나무집,경기도 성남시 수정구 태평동 3590 1층 
수라냉면,경기도 성남시 수정구 태평동 3526 1층 
태평면식점,경기도 성남시 수정구 수진동 3321 1층 
논골포장마차,경기도 성남시 수정구 단대동 60-3 1층 
인사동모퉁이,경기도 성남시 수정구 신흥동 3802 2층 
진도돼지집,경기도 성남시 수정구 수진동 299 1층 
중앙식당,경기도 성남시 수정구 고등동 399-2 1층 
명문보쌈,경기도 성남시 수정구 신흥동 4110 1층 
미소야,경기도 성남시 수정구 신흥동 4192 1층 
종로분식,경기도 성남시 수정구 산성동 1391 1층 
다모아,경기도 성남시 수정구 신흥동 4128 1층 
더 별난 쭈꾸미,경기도 성남시 수정구 태평동 3536-1 1층 
초당마을,경기도 성남시 수정구 태평동 3486-2 1층 
조약돌,경기도 성남시 수정구 신흥동 2501 1층 
두리아바베큐치킨,경기도 성남시 수정구 태평동 3436-3 1층 
청솔시골밥상,경기도 성남시 수정구 단대동 71-1 지하1층 
수진 순대국,경기도 성남시 수정구 수진동 1287 1층 
풍년식당,경기도 성남시 수정구 단대동 75 
등나무집,"경기도 성남시 수정구 단대동 산 164-3 지층,1층 2동 1호"
수미식당,경기도 성남시 수정구 태평동 3730 1층 
할매순대국,경기도 성남시 수정구 태평동 7339-5 1층 
정운포차,경기도 성남시 수정구 수진동 4429 1층 
원조황소곱창구이,경기도 성남시 수정구 수진동 162 1층 
달달한 커피콩,경기도 성남시 수정구 태평동 3455 1층 
하수끼(신흥점),경기도 성남시 수정구 신흥동 5491 2층 
경원국밥가천대점,경기도 성남시 수정구 태평동 5113-9 지하4층 410호
부뚜막청국장,"경기도 성남시 수정구 상적동 276-6 1층,2층 "
도리원,경기도 성남시 수정구 태평동 3408 지층 
햇님 이모네,경기도 성남시 수정구 태평동 6419-1 1층 
디안만두전골 (주)상원푸드,"경기도 성남시 수정구 상적동 30-1 1층,2층 "
9292양꼬치,경기도 성남시 수정구 수진동 2955 1층 
고기사랑,경기도 성남시 수정구 신흥동 5507 1층 
동대문곱창순대,경기도 성남시 수정구 양지동 236 1층 
시골청국장,경기도 성남시 수정구 태평동 3397 1층 
일미식당,경기도 성남시 수정구 신흥동 5462 1층 
왕골남서문곰탕,경기도 성남시 수정구 수진동 3026 1층 
마포갈비,경기도 성남시 수정구 상적동 211-4 1층 
정일품,"경기도 성남시 수정구 단대동 산 164-3 지층,1층,2층 8동 2호"
초원의집,"경기도 성남시 수정구 단대동 산 164-3 지층,1층,2층 1동 1호"
사랑방,"경기도 성남시 수정구 단대동 산 164-3 지층,1층.2층 11동 1호"
노다지,"경기도 성남시 수정구 단대동 산 164-3 지층,1층,2층 10동 1호"
초원의집,"경기도 성남시 수정구 단대동 산 164-3 지하, 1(일부), 2층 1동 2호 "
동산가든,"경기도 성남시 수정구 단대동 산 164-3 지층,1층,2층 4동 2호"
미스터 짱닭,"경기도 성남시 수정구 수진동 4660 111, 113호 "
영흥면식,경기도 성남시 수정구 수진동 41-1 1층 
토크쇼,경기도 성남시 수정구 태평동 3546 1층 
김과장 고깃집,경기도 성남시 수정구 신흥동 4059 1층 
아싸리(ASARI),경기도 성남시 수정구 신흥동 3852 2층 
오늘손칼국수&찜,경기도 성남시 수정구 신흥동 3774 1층 
할매순대국,경기도 성남시 수정구 태평동 7339-5 1층 
돈대봉,경기도 성남시 수정구 신흥동 2516 1층 
루아,경기도 성남시 수정구 신흥동 3808 1층 
제이제이(J.J),"경기도 성남시 수정구 신흥동 4138 2층,3층 "
피자칸,경기도 성남시 수정구 신흥동 3219 1층(일부) 
방가네 밥상,경기도 성남시 수정구 단대동 173-1 1층 
계서 즉석냉면 도삭면,경기도 성남시 수정구 수진동 78 1층 
황소갈비,경기도 성남시 수정구 태평동 5218 1층 
와다다,경기도 성남시 수정구 양지동 223 1층 
가마치통닭 태평점,경기도 성남시 수정구 태평동 6827 1층 
얀이네분식,경기도 성남시 수정구 수진동 3011 외 3필지 1층 
또봉이통닭,경기도 성남시 수정구 신흥동 4514 1층 
광천식당,경기도 성남시 수정구 태평동 3068 1층 
광한루 남원추어탕,경기도 성남시 수정구 수진동 3009 1층 
마쇼네,경기도 성남시 수정구 태평동 2885-1 지1층 
포크 포크,경기도 성남시 수정구 양지동 856 1층 
소주기행,경기도 성남시 수정구 태평동 7338 2층 
궁,경기도 성남시 수정구 신흥동 6910 파이넨스빌딩 지층 
쭈꾸미아저씨,경기도 성남시 수정구 수진동 3009 1층 
명가감자탕,경기도 성남시 수정구 수진동 33-1 1층 
명품파주,경기도 성남시 수정구 태평동 3399 1층 
저수지민물장어집,경기도 성남시 수정구 상적동 96-1 1층 
다모아호프,경기도 성남시 수정구 신흥동 2604-1 1층 
박가네명가순두부,경기도 성남시 수정구 태평동 3422 1층 
우정포장마차,경기도 성남시 수정구 수진동 1793 1층 
풀코스,경기도 성남시 수정구 태평동 5398 1층 일부 
청산골왕갈비,경기도 성남시 수정구 신흥동 3779 1층 일부 
만남,경기도 성남시 수정구 신흥동 2606-3 지하1층 
임자네밥집,경기도 성남시 수정구 신흥동 4466 1층 
조우 스시오마카세,경기도 성남시 수정구 신흥동 6925 1층 
새마을식당 신흥역점,경기도 성남시 수정구 신흥동 4200 1층 
비바체스,경기도 성남시 수정구 신흥동 2463-4 지하1층 170호 
김삿갓막국수,경기도 성남시 수정구 상적동 276-4 1층 
춘천닭갈비,경기도 성남시 수정구 신흥동 2490 1층호
마포숯불갈비,경기도 성남시 수정구 태평동 3919-1 1층 
참맛나리아,경기도 성남시 수정구 신흥동 4135 
흑산홍어,경기도 성남시 수정구 신흥동 5629 1층 
정다운순대국,"경기도 성남시 수정구 수진동 4660 산호아파트, 1층 상가105호, 상가106호 "
장수본가 해장국,경기도 성남시 수정구 태평동 3536-1 1층 
만석꾼,경기도 성남시 수정구 신흥동 2562-1 
소문난순대국,경기도 성남시 수정구 신흥동 6925 1층 
진선보쌈,경기도 성남시 수정구 신흥동 2562-1 
돈선생 양박사,경기도 성남시 수정구 신흥동 2575-3 
멕시코,경기도 성남시 수정구 신흥동 2593 1층 
남도탕찜,경기도 성남시 수정구 태평동 3691-3 1층 
장군,경기도 성남시 수정구 태평동 3469 1층 일부 
맛있는 한우,경기도 성남시 수정구 시흥동 203-1 
여수동 원 갈매기살,경기도 성남시 수정구 태평동 3482-2 1층 
삼애반점,경기도 성남시 수정구 단대동 30-3 
대성각,경기도 성남시 수정구 고등동 419-9 1층 
앵두나무집,경기도 성남시 수정구 상적동 337-3 
청학동민속주점,경기도 성남시 수정구 신흥동 4093 1~2층 
성원식당,경기도 성남시 수정구 단대동 65-2 
석진봉까스,경기도 성남시 수정구 신흥동 4173 1층 
욕쟁이 장마담집,"경기도 성남시 수정구 단대동 산 164-3 지층,1층,2층 4동 1호"
놀뫼곱창,경기도 성남시 수정구 단대동 97-3 1층 
유정집,경기도 성남시 수정구 단대동 산 164-3 3동 2호
랑랑집,"경기도 성남시 수정구 단대동 산 164-3 지층,1층,2층 5동 1호"
요리천재의 콩이랑 팥이랑 동태랑,경기도 성남시 수정구 태평동 3678 주민신협행복빌딩 1층 일부호 
북한강쭈꾸미볶음 성남점,경기도 성남시 수정구 신촌동 117-7 1층 
꽐라꽐라,경기도 성남시 수정구 수진동 302 1층 
한국관,"경기도 성남시 수정구 단대동 산 164-3 지층.1층,2층 10동 2호"
대궐,"경기도 성남시 수정구 단대동 산 164-3 지층,1층,2층 5동 2호"
유장춘 닭개장,경기도 성남시 수정구 단대동 산 164-3 8동1호 
카펠라(CAPELLA),"경기도 성남시 수정구 단대동 산 164-3 지층,1층,2층 11동 2호"
신평양찹쌀순대,경기도 성남시 수정구 태평동 6988 
신땡초불닭발,경기도 성남시 수정구 신흥동 2575-2 
이모네왕십리곱창,경기도 성남시 수정구 수진동 3379 외2필지1층 120호
하루,경기도 성남시 수정구 신흥동 5633 1층 
신토불이,경기도 성남시 수정구 단대동 67-1 
홍굴이왕짬뽕by열라왕짜장,경기도 성남시 수정구 태평동 6974-1 2층 
해장국고갯길,경기도 성남시 수정구 태평동 2885-2 1층 
안동 명인찜닭,경기도 성남시 수정구 수진동 3004 1층 
네네치킨(태평점),경기도 성남시 수정구 태평동 809 1층 
태평추어탕,경기도 성남시 수정구 태평동 6976 1층 
가야한정식,"경기도 성남시 수정구 단대동 산 164-7 1층, 2층 "
추억여행,경기도 성남시 수정구 수진동 295 1층 
또또와분식,경기도 성남시 수정구 신흥동 5495 1층 
성남반점,경기도 성남시 수정구 수진동 1073 1층 
와라,경기도 성남시 수정구 신흥동 4109 
한솥도시락,경기도 성남시 수정구 양지동 211 
77수산,경기도 성남시 수정구 신흥동 2536 1층 
왕손피자,경기도 성남시 수정구 신흥동 2586-4 1층 
잭아저씨족발,경기도 성남시 수정구 수진동 3379 1층 119호
미가보리밥,경기도 성남시 수정구 태평동 6503 
큰소머리국밥,경기도 성남시 수정구 고등동 397-5 1층 
영광포차,경기도 성남시 수정구 신흥동 3498 1층 
종로분식 태평점,경기도 성남시 수정구 태평동 2351 1층 
김이밥이커졌어요,경기도 성남시 수정구 신흥동 6949 B동 마열 9호 
고고싱 떡볶이,경기도 성남시 수정구 태평동 6413 
국빈,경기도 성남시 수정구 태평동 5857-2 1층 
소프트,경기도 성남시 수정구 양지동 25 
친구양꼬치,경기도 성남시 수정구 단대동 60-3 1층 
대머리칼국수,경기도 성남시 수정구 태평동 6419-2 
여울목,경기도 성남시 수정구 오야동 280-2 1층 
신흥삼계탕,경기도 성남시 수정구 수진동 3267 1층 
남추어탕,경기도 성남시 수정구 심곡동 252-6 1층 
전주식당,경기도 성남시 수정구 양지동 25 
황금어장,경기도 성남시 수정구 신흥동 3436-9 
마실 쌀치킨,경기도 성남시 수정구 단대동 159-1 
아싸요우(신흥점),경기도 성남시 수정구 신흥동 4106 
최가네치킨,경기도 성남시 수정구 수진동 3001 
우촌1호점,경기도 성남시 수정구 태평동 3691-7 1층 
페리카나,경기도 성남시 수정구 태평동 3307-7 1층 
마산아구,경기도 성남시 수정구 태평동 6434 
한신각,경기도 성남시 수정구 신흥동 2463-4 지하1층40호 
미가네식당,경기도 성남시 수정구 수진동 3004 
257 의정부 부대찌개,경기도 성남시 수정구 양지동 854 1층 
쇼촬땐 8호점,경기도 성남시 수정구 수진동 2958 
만다린,경기도 성남시 수정구 단대동 60-6 1층 
한신분식,경기도 성남시 수정구 신흥동 2463-4 지하1층90호 
꽃술포차,경기도 성남시 수정구 태평동 5612-1 1층 일부 
진심카츠,경기도 성남시 수정구 단대동 181-2 
스탄불숯불바베큐,경기도 성남시 수정구 태평동 2353 외 1필지 
꼬꼬닷컴,경기도 성남시 수정구 태평동 3592 1층 
만남호프,경기도 성남시 수정구 수진동 81 
능곡식당,경기도 성남시 수정구 수진동 3408 
맷돌로만 남한산성,경기도 성남시 수정구 양지동 28-2 
미소,경기도 성남시 수정구 수진동 158 1층 
제이더블유엘(JWL)푸드,경기도 성남시 수정구 태평동 3647 1층 
업텐브로피자 54호점,경기도 성남시 수정구 신흥동 2574-2 1층 
란주천면관,경기도 성남시 수정구 수진동 77 1층 
88호돌이식당,경기도 성남시 수정구 단대동 60-3 1층 
둘이야,경기도 성남시 수정구 수진동 1289 1층 
조개맛 본 돼지,경기도 성남시 수정구 태평동 6428 1층 
덤앤더머,경기도 성남시 수정구 신흥동 2575-1 지층 
김밥싸롱,경기도 성남시 수정구 신흥동 2684 1층 
산성회,경기도 성남시 수정구 산성동 1528 1층 
명동손칼국수,경기도 성남시 수정구 신흥동 2463-4 1층 
정인청국장보리밥,경기도 성남시 수정구 태평동 3387 1층 
청해,경기도 성남시 수정구 단대동 68-4 1층 
달콤한닭강정분식,경기도 성남시 수정구 수진동 47 1층 
풍년숯불구이,경기도 성남시 수정구 신흥동 2472 
선영이네 집밥,경기도 성남시 수정구 수진동 157 
만남포차,경기도 성남시 수정구 신흥동 5397 외 1필지 (1층) 
진미식당,경기도 성남시 수정구 수진동 1319 1320.1321(1층) 
먹고 보자 양꼬치,경기도 성남시 수정구 수진동 81 1층 
오가네칼국수,경기도 성남시 수정구 태평동 6344 
맛고을감자탕해장국,경기도 성남시 수정구 신흥동 2593-1 1층 
영산강 민물장어,경기도 성남시 수정구 수진동 14 1층 
무쇠뚝삼겹 신흥역점,경기도 성남시 수정구 신흥동 4222 1층 
목현리원조오리농장,경기도 성남시 수정구 양지동 36 1층 
원조왕십리곱창구이전문,경기도 성남시 수정구 태평동 5537 1층 
휘앙새,경기도 성남시 수정구 태평동 3857-5 2층 
세트포차,경기도 성남시 수정구 신흥동 5272 1층 
전주식당,경기도 성남시 수정구 신흥동 2595-2 
서오릉,경기도 성남시 수정구 태평동 3307-70 1층 
창신동 매운 족발,경기도 성남시 수정구 태평동 3491-1 1층 
삼부식당,경기도 성남시 수정구 태평동 7250 1층 
마담순살떡볶이,경기도 성남시 수정구 신흥동 6902 1층 
철뚝길 성남태평점,경기도 성남시 수정구 태평동 3459-3 1층 
몽몽포차,경기도 성남시 수정구 수진동 3008 2층 
추억의포차,경기도 성남시 수정구 태평동 3166-3 1층 
화원,경기도 성남시 수정구 수진동 1304 1층 
이서방치킨,경기도 성남시 수정구 신흥동 4123 
심산가든,경기도 성남시 수정구 심곡동 329 1층 
광주아구찜탕,경기도 성남시 수정구 태평동 6428 1층 
양푼김치찌개랑 달인찜닭,경기도 성남시 수정구 신흥동 4131 1층 
포청각,경기도 성남시 수정구 수진동 1435 1층 
충남식당,경기도 성남시 수정구 태평동 3314-2 1층 
또올래호프,경기도 성남시 수정구 수진동 3396 1층 
미성옥,경기도 성남시 수정구 수진동 2943 1층 
충북갈매기식당,경기도 성남시 수정구 수진동 4560 
신선한 밥상,경기도 성남시 수정구 태평동 3469 
펀비어킹 수정로점,경기도 성남시 수정구 태평동 3486-1 
명인만두,경기도 성남시 수정구 신흥동 5493-1 1층 
골목포차,경기도 성남시 수정구 태평동 2705 1층 
김밥천국,경기도 성남시 수정구 태평동 6425 1층 
맥 하이,경기도 성남시 수정구 신흥동 948 지층 
아베떼,경기도 성남시 수정구 단대동 181-1 1층 
두배마니,경기도 성남시 수정구 신흥동 2585 1층 일부 
할매순대국,경기도 성남시 수정구 신흥동 4233 1층 
전초전,경기도 성남시 수정구 신흥동 3810 1층 
옛날순대국,경기도 성남시 수정구 태평동 4025-5 
양광꼬치,경기도 성남시 수정구 수진동 84-2 1층 
마포갈비,경기도 성남시 수정구 태평동 7294 1층 
지루네 오겹살,경기도 성남시 수정구 신흥동 4160 외3필지 1층 
아지트 포차,경기도 성남시 수정구 수진동 524 1층 
송화강반점,경기도 성남시 수정구 수진동 346 1층 
동의궁,경기도 성남시 수정구 단대동 산 164-3 9동2호 
오박사숯불생고기,경기도 성남시 수정구 신흥동 4243 2층 
감가네만두집,경기도 성남시 수정구 수진동 4567-22 1층 
송가네남원추어탕,"경기도 성남시 수정구 태평동 3203 101,102,103호 "
뚝배기양평해장국,경기도 성남시 수정구 태평동 3395 1층 
녹차먹은삼겹,경기도 성남시 수정구 수진동 3953 1층 
주야 짬뽕,경기도 성남시 수정구 양지동 534 1층 
이가손칼국수,경기도 성남시 수정구 복정동 686-3 1층 
맥주에게 소주가,"경기도 성남시 수정구 태평동 3477 1층 102호,103호 "
홍미단 성남복정점,경기도 성남시 수정구 복정동 686-3 
할배구이,경기도 성남시 수정구 양지동 547 1층 
오케이치킨호프,경기도 성남시 수정구 산성동 1528-1 1층 
피자스쿨 은행점,경기도 성남시 수정구 양지동 531 1층 
노랑통닭 성남수진점,경기도 성남시 수정구 수진동 33-1 
엄마손식당,경기도 성남시 수정구 태평동 6883 1층 
임진강 메기매운탕,경기도 성남시 수정구 시흥동 83-10 1층 
집밥처럼,경기도 성남시 수정구 신흥동 4172 1층 
고기굽는방앗간 성남태평점,경기도 성남시 수정구 태평동 7339-4 
소호정,경기도 성남시 수정구 사송동 649-2 1.2층 
금빛한돈,경기도 성남시 수정구 신흥동 2537-1 1층 
번개푸드,경기도 성남시 수정구 신흥동 2580-1 1층 
국수이야기2,경기도 성남시 수정구 수진동 3004 1층 
콩나물과북어대가리,경기도 성남시 수정구 태평동 6434 1층 
카스광장,경기도 성남시 수정구 태평동 6410-1 1층 
승미 황소곱창,경기도 성남시 수정구 신흥동 5474 1층 
전주가든,"경기도 성남시 수정구 단대동 산 164-3 지층,1층,2층 남한산성민속식당 3동 1호"
주식회사 풍경돌판구이,경기도 성남시 수정구 태평동 7272-4 1층 
마라왕,경기도 성남시 수정구 태평동 5106 1층 
바른치킨 성남푸르지오점,경기도 성남시 수정구 단대동 163-1 1층 
해프닝,경기도 성남시 수정구 태평동 3307-71 1층 
손가네김밥,경기도 성남시 수정구 태평동 3138 1층 
업앤다운2,경기도 성남시 수정구 복정동 690-8 지층 
전주식당,경기도 성남시 수정구 복정동 715-2 1층 
고향손칼국수,경기도 성남시 수정구 신흥동 5551 1층 
제주골 김치오겹살,경기도 성남시 수정구 태평동 3514 1층 
루시바,경기도 성남시 수정구 신흥동 4129 지1층 
3.5호프,경기도 성남시 수정구 태평동 2108 1층 
